31.0.0.0/8|31|30|31 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [31]}}, 'med': 0, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.47.2': [{'nlri': '31.0.0.0/8'}]}}}|1701695928.7527328
27.0.0.0/8|27|30|27 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [27]}}, 'med': 0, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.43.1': [{'nlri': '27.0.0.0/8'}]}}}|1701695936.181172
29.0.0.0/8|29|30|29 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [29]}}, 'med': 0, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.46.1': [{'nlri': '29.0.0.0/8'}]}}}|1701695944.4164946
1.0.0.0/8|1|30|27 26 25 24 17 16 9 8 1 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [27, 26, 25, 24, 17, 16, 9, 8, 1]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.43.1': [{'nlri': '1.0.0.0/8'}]}}}|1701695993.0489888
2.0.0.0/8|2|30|27 26 25 24 17 16 9 8 1 2 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [27, 26, 25, 24, 17, 16, 9, 8, 1, 2]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.43.1': [{'nlri': '2.0.0.0/8'}]}}}|1701695993.0501456
3.0.0.0/8|3|30|27 26 25 24 17 16 9 8 1 2 3 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [27, 26, 25, 24, 17, 16, 9, 8, 1, 2, 3]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.43.1': [{'nlri': '3.0.0.0/8'}]}}}|1701695993.0511298
4.0.0.0/8|4|30|27 26 25 24 17 18 19 20 13 12 5 4 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [27, 26, 25, 24, 17, 18, 19, 20, 13, 12, 5, 4]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.43.1': [{'nlri': '4.0.0.0/8'}]}}}|1701695993.052052
5.0.0.0/8|5|30|27 26 25 24 17 18 19 20 13 12 5 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [27, 26, 25, 24, 17, 18, 19, 20, 13, 12, 5]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.43.1': [{'nlri': '5.0.0.0/8'}]}}}|1701695993.0560691
6.0.0.0/8|6|30|27 26 25 24 17 16 9 8 7 6 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [27, 26, 25, 24, 17, 16, 9, 8, 7, 6]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.43.1': [{'nlri': '6.0.0.0/8'}]}}}|1701695993.0584817
7.0.0.0/8|7|30|27 26 25 24 17 16 9 8 7 |exabgp|30|A|{'attribute': {'origin': 'igp', 'as-path': {'0': {'element': 'as-sequence', 'value': [27, 26, 25, 24, 17, 16, 9, 8, 7]}}, 'local-preference': 100}, 'announce': {'ipv4 unicast': {'179.0.43.1': [{'nlri': '7.0.0.0/8'}]}}}|1701695993.059584
